id_stacji,stacja,rzeka,województwo,stan_wody,stan_wody_data_pomiaru,temperatura_wody,temperatura_wody_data_pomiaru,zjawisko_lodowe,zjawisko_lodowe_data_pomiaru,zjawisko_zarastania,zjawisko_zarastania_data_pomiaru
154210060,Przystań,"Jez. Mamry",warmińsko-mazurskie,171,"2017-11-25 13:10:00",,,,,0,"2017-10-24 11:10:00"
149190290,Jordanów,Skawa,małopolskie,175,"2017-11-25 13:10:00",,,,,0,"2017-11-23 12:00:00"
151140060,Zgorzelec,"Nysa Łużycka",dolnośląskie,203,"2017-11-25 13:10:00",6.51,"2017-11-25 13:10:00",0,"2017-09-05 07:59:00",,
150210130,Pustków,Wisłoka,podkarpackie,192,"2017-11-25 13:10:00",,,,,,
152140090,"Biała Góra",Odra,lubuskie,264,"2017-11-25 13:00:00",6.4,"2017-11-25 13:00:00",,,,
151180100,Osjaków,Warta,łódzkie,120,"2017-10-20 06:00:00",11.5,"2017-11-25 13:00:00",,,,
154180020,Miłoszewo,Łeba,pomorskie,210,"2017-11-25 13:10:00",,,,,0,"2017-09-06 10:13:00"
152140050,Słubice,Odra,-,264,"2017-11-25 13:00:00",6.4,"2017-11-25 13:00:00",,,0,"2017-09-18 08:56:00"
153180060,Krąplewice,Wda,kujawsko-pomorskie,180,"2017-11-25 11:10:00",5.2,"2017-11-25 11:10:00",,,,
150170010,Zborowice,Oława,dolnośląskie,148,"2017-11-25 13:10:00",7.2,"2017-11-25 13:10:00",,,,
151160140,Osetno,Barycz,dolnośląskie,285,"2017-11-25 13:10:00",6.7,"2017-11-25 13:10:00",,,,
150160140,Dzierżoniów,Piława,dolnośląskie,152,"2017-11-25 13:10:00",7.36,"2017-11-25 13:10:00",,,,
153220080,Prostki,Ełk,warmińsko-mazurskie,179,"2017-11-25 13:10:00",,,,,200,"2017-10-04 13:07:00"
149180100,Skoczów,Wisła,śląskie,162,"2017-11-25 13:10:00",,,,,,
150190340,"Kraków - Bielany",Wisła,małopolskie,175,"2017-11-25 13:10:00",,,,,,
152220010,Zaliwie-Piegawki,Liwiec,mazowieckie,172,"2017-11-25 13:10:00",,,,,100,"2017-10-27 10:00:00"
154200010,Bornity,Wałsza,warmińsko-mazurskie,261,"2017-11-25 13:10:00",,,,,0,"2017-09-20 13:57:00"
150220060,Gorliczyna,"Mleczka Zachodnia",podkarpackie,179,"2017-11-25 13:10:00",,,,,,
150210150,Koło,Wisła,podkarpackie,226,"2017-11-25 13:10:00",5.68,"2017-11-25 13:10:00",,,,
152230080,Krzyczew,Bug,lubelskie,225,"2017-11-25 13:00:00",,,,,0,"2017-10-12 08:00:00"
150210220,Włochy,Pokrzywianka,świętokrzyskie,160,"2017-11-25 13:10:00",,,,,0,"2017-11-22 14:57:00"
151210190,Puławy,Wisła,lubelskie,243,"2017-11-25 13:10:00",,,,,0,"2017-10-17 14:00:00"
152150100,Bledzew,Obra,lubuskie,249,"2017-11-25 13:10:00",,,,,110,"2017-08-09 12:00:00"
149220040,Dynów,San,podkarpackie,170,"2017-11-25 13:10:00",,,,,,
152150130,Cigacice,Odra,lubuskie,261,"2017-11-25 13:10:00",6.5,"2017-11-25 13:10:00",0,"2017-10-09 09:00:00",0,"2017-09-08 08:00:00"
150190180,Jeleń,Przemsza,śląskie,171,"2017-11-25 13:10:00",7.77,"2017-11-25 13:10:00",,,0,"2017-10-18 09:56:00"
151180050,Dębe,Swędrnia,wielkopolskie,225,"2017-11-25 13:00:00",6.5,"2017-11-25 13:00:00",,,,
151150030,Iłowa,"Czerna Mała",lubuskie,158,"2017-11-25 13:10:00",,,,,,
149200220,"Stary Sącz",Poprad,małopolskie,154,"2017-11-25 13:10:00",,,0,"2017-10-20 11:04:00",,
150180170,Pyskowice,Drama,śląskie,151,"2017-11-25 13:10:00",,,,,,
152150190,"Nowe Drezdenko",Noteć,lubuskie,295,"2017-11-25 13:10:00",,,,,0,"2017-11-14 12:00:00"
151210060,Rogożek,Radomka,mazowieckie,202,"2017-11-25 13:10:00",6.4,"2017-11-25 13:10:00",,,,
150220140,Charytany,Szkło,podkarpackie,181,"2017-11-25 13:10:00",,,,,,
150190260,Smolice,Wisła,małopolskie,167,"2017-11-25 13:10:00",,,0,"2017-09-23 10:01:00",,
151190040,Lutomiersk,Ner,łódzkie,84,"2017-11-25 13:00:00",,,,,0,"2017-10-10 11:00:00"
153220280,Białobrzegi,Netta,podlaskie,170,"2017-11-25 13:10:00",,,,,110,"2017-10-04 09:07:00"
